MACH,ALPHA,CYPHI,CN0,CNPHI,Cm0,CmPHI,CnPHI,CmQ,CnR,ClPHI,ClP,CAon,CAoff,CYDELTAR,CNDELTAQ,CnDELTAR,CmDELTAQ,ClDELTAP,CADELTAEFF2
0.45,5,-0.04286595313497298,-1.0109,-0.05480447275541048,-1.1212,-0.14191745119722105,0.11876924119004972,-633.181,-683.5223,0.0006762099920895158,-15.0853,-0.5315,-0.5409,0.11137895459756915,-0.10883885672619993,-0.743708091959024,-0.7295924539016381,0.07338,-0.004956
0.45,7,-0.09488725819807939,-1.4942,-0.11687745674223936,-1.3712,-0.3119487017310658,0.24974643280033318,-605.2589,-665.8037,0.0017033636078983292,-15.955,-0.4995,-0.5089,0.11177239375359019,-0.10247405319215983,-0.7465869214656119,-0.6892116017946281,0.07414,-0.006155999999999999
0.45,10,-0.2005134731361736,-2.304,-0.2293640259231957,-1.6417,-0.5717426371850255,0.4395057885125737,-560.5575,-633.5115,0.006429475419535009,-17.1564,-0.4247,-0.434,0.11072682945921017,-0.08670425871108585,-0.7382158723686452,-0.5877082031356997,0.07268,-0.007483999999999999
0.45,15,-0.5326579731582454,-3.7635,-0.4643390149409242,-0.7156,-1.4161581153972633,1.8993143379746715,-536.8371,-585.9554,-0.14196180689233312,-18.0536,-0.2802,-0.2893,0.10416299673392923,-0.06263630391117013,-0.6896878618303196,-0.42904668941542223,0.06316000000000001,-0.007412000000000001
0.45,20,-1.0407841299260867,-5.2234,-0.8037925995233516,2.1421,-3.1929198914350763,4.883909598157685,-573.91,-549.4249,-0.5332023712203933,-19.017,-0.1108,-0.1197,0.0918065628650802,-0.0466467714563999,-0.6088037732773444,-0.32303091034064135,0.050780000000000006,-0.00524
0.6,0,0.0,-0.0,0.0,0.0,0.0,0.0,-753.64,-753.519,0.0,-13.5311,-0.556,-0.5654,0.11333651382800417,-0.11333651382800417,-0.7561405377622743,-0.7561405377622743,0.07386000000000001,-0.002647999999999997
0.6,1,-0.0005708850121780658,-0.178,-0.001154856752211893,-0.2968,-0.0018920737792518857,0.0013198219293757804,-737.285,-752.2737,0.0,-13.7039,-0.5549,-0.5643,0.11364141365960426,-0.11488597418609411,-0.758277949700147,-0.7673284829618825,0.07396,-0.0029200000000000025
0.6,2,-0.003859239736704866,-0.3702,-0.007140646879765658,-0.5757,-0.009743316503767068,0.005381648523012224,-720.1249,-749.2017,0.0006313042313759454,-14.1242,-0.5513,-0.5607,0.11411564913285317,-0.11594789115319992,-0.7617464899477044,-0.7752403868765628,0.0743,-0.003344
0.6,3,-0.010463927850511926,-0.5799,-0.0171720470948407,-0.8387,-0.03185636271041472,0.015904867967880335,-703.2123,-744.968,0.002390218838779109,-14.6368,-0.545,-0.5544,0.11471811085333508,-0.11601461358039802,-0.7659872298918489,-0.776513077138677,0.07482,-0.0038680000000000003
0.6,5,-0.04399260680592949,-1.0294,-0.056276693727113705,-1.2258,-0.14455328976677784,0.12158975077707503,-675.4843,-734.8906,0.0011983304324015799,-15.5689,-0.525,-0.5343,0.11567607052831134,-0.1128390180591061,-0.7729118419236473,-0.7568837336659799,0.07616,-0.005084
0.6,7,-0.09719830748301478,-1.5219,-0.1198061582681029,-1.5102,-0.3177866281764415,0.2550798462101848,-651.3428,-718.8946,0.0033028096966333433,-16.4739,-0.4928,-0.5021,0.11609514637914349,-0.10581290014539284,-0.77594122944702,-0.7120135423632246,0.077,-0.006259999999999999
0.6,10,-0.20432079854702356,-2.3499,-0.23394609107678346,-1.8372,-0.5761018464670283,0.44298621526711707,-611.0535,-687.8895,0.011403002898899802,-17.721,-0.4172,-0.4265,0.11487005663298308,-0.08780730233509029,-0.7662920130595976,-0.595629444676032,0.07536000000000001,-0.0076399999999999975
0.6,15,-0.5397758723674868,-3.8477,-0.46950296053530377,-0.9275,-1.4248958108318237,1.9211192099120762,-598.0683,-643.8395,-0.14148380757096335,-18.4267,-0.2698,-0.2789,0.10725950675433596,-0.06677420342457363,-0.7106103226567215,-0.4575035405000242,0.0643,-0.0076760000000000005
0.6,20,-1.066675467388055,-5.3571,-0.8454125058033518,2.0858,-3.410685125516557,5.020809190954586,-655.5055,-608.1121,-0.5350845216243596,-19.702,-0.0934,-0.1022,0.09540614891952633,-0.057413895521581215,-0.6331276660918386,-0.3961495975023081,0.05294,-0.005667999999999999
