time,thrust
3.744,289.5871546391752
3.754,288.67694845360825
3.7640000000000002,289.7894226804124
3.774,285.9261030927835
3.7840000000000003,286.43177319587625
3.794,283.35729896907213
3.8040000000000003,281.57734020618557
3.814,277.0263092783505
3.8240000000000003,276.64199999999994
3.834,270.33123711340204
3.844,269.42103092783503
3.854,265.73975257731956
3.864,264.5261443298969
3.874,255.56567010309277
3.884,253.96775257731954
3.894,254.02843298969069
3.904,249.0930927835051
3.914,242.72164948453604
3.924,242.47892783505154
3.934,241.87212371134018
3.944,245.10841237113402
3.954,239.99103092783506
3.964,236.97723711340205
3.974,229.65513402061853
3.984,223.80958762886598
3.994,222.8184742268041
4.0040000000000004,221.3823711340206
4.014,219.0158350515464
4.024,222.5150721649484
4.034,222.59597938144327
4.0440000000000005,221.05874226804121
4.054,219.0158350515464
4.064,212.11849484536083
4.074,210.09581443298967
4.0840000000000005,206.920206185567
4.094,203.5221030927835
4.104,198.56653608247422
4.114,196.38204123711338
4.124,195.97750515463915
4.134,194.35936082474225
4.144,196.64498969072164
4.154,194.74367010309277
4.164,191.2848865979381
4.174,188.27109278350514
4.184,184.06391752577318
4.194,180.01855670103092
4.204,179.49265979381443
4.214,178.5622268041237
4.224,175.20457731958763
4.234,173.62688659793815
4.244,172.39305154639172
4.2540000000000004,170.45127835051545
4.264,166.2441030927835
4.274,158.96245360824742
4.284,157.1622680412371
4.2940000000000005,157.74884536082473
4.304,154.24960824742266
4.314,150.16379381443298
4.324,152.0246597938144
4.3340000000000005,151.21558762886596
4.344,151.13468041237113
4.354,145.97684536082474
4.364,145.046412371134
4.374,138.47270103092782
4.384,135.25663917525773
4.394,132.5664742268041
4.404,131.35286597938142
4.414,127.22659793814432
4.424,124.47575257731958
4.434,125.32527835051545
4.444,123.32282474226804
4.454,120.67311340206184
4.464,116.32435051546392
4.474,116.10185567010308
4.484,115.19164948453607
4.494,113.22964948453607
4.5040000000000004,108.961793814433
4.514,108.09204123711339
4.526,104.61303092783504
4.5360000000000005,103.6219175257732
4.546,102.46898969072163
4.556,101.6801443298969
4.566,100.36540206185566
4.5760000000000005,100.12268041237112
4.586,98.14045360824741
4.596,98.52476288659794
4.606,93.26579381443298
4.616,83.01080412371134
4.626,79.36997938144329
4.636,78.43954639175257
4.646,81.35220618556701
4.656,45.18668041237113
4.666,31.412226804123712
4.676,72.35127835051546
4.686,48.62523711340206
4.696,70.4499587628866
4.706,59.790432989690714
4.716,62.521051546391746
4.726,57.646391752577316
4.736,60.073608247422676
4.746,57.40367010309278
4.756,57.949793814432994
4.766,55.3000824742268
4.776,54.066247422680405
4.7860000000000005,52.711051546391744
4.796,50.68837113402062
4.806,48.48364948453608
4.816,48.18024742268041
4.8260000000000005,46.05643298969072
4.836,45.51030927835051
4.846,44.2360206185567
4.856,41.748123711340206
4.866,40.696329896907216
4.876,37.74321649484536
4.886,37.48026804123711
4.896,35.538494845360816
4.906,34.6080618556701
4.916,32.74719587628866
4.926,31.675175257731958
4.936,29.976123711340204
4.946,28.05457731958763
4.956,27.14437113402062
4.966,25.546453608247422
4.976,24.009216494845358
4.986,22.18880412371134
4.996,20.99542268041237
5.006,19.47841237113402
5.016,18.082762886597937
5.026,16.74779381443299
5.0360000000000005,15.291463917525771
5.046,13.996948453608246
5.056,12.621525773195875
5.066,11.32701030927835
5.0760000000000005,9.911134020618556
5.086,8.636845360824742
5.096,7.301876288659794
5.106,6.068041237113402
5.1160000000000005,5.076927835051546
5.126,4.106041237113401
5.136,3.276742268041237
5.146,2.6699381443298966
5.156,2.1238144329896906
5.166,1.9013195876288658
5.176,1.597917525773196
5.186,1.4158762886597938
5.196,1.3349690721649483
5.206,1.2136082474226804
5.216,1.132701030927835
5.226,1.0922474226804122
5.236,0.9708865979381442
5.246,0.8495257731958762
